club,primaryCol,secondaryCol,cityName,teamName
BAL,#241773,#9E7C0C,Baltimore,Ravens
CIN,#FB4F14,#000000,Cincinnati,Bengals
CLE,#311D00,#FF3C00,Cleveland,Browns
PIT,#FFB612,#101820,Pittsburgh,Steelers
BUF,#00338D,#C60C30,Buffalo,Bills
MIA,#008E97,#FC4C02,Miami,Dolphins
NE,#002244,#C60C30,NewEngland,Patriots
NYJ,#125740,#000000,NewYork,Jets
HOU,#03202F,#A71930,Houston,Texans
IND,#002C5F,#A2AAAD,Indianapolis,Colts
JAX,#D7A22A,#006778,Jacksonville,Jaguars
TEN,#0C2340,#4B92DB,Tennessee,Titans
DEN,#FB4F14,#002244,Denver,Broncos
KC,#E31837,#FFB81C,KansasCity,Chiefs
LV,#000000,#A5ACAF,LasVegas,Raiders
LAC,#0080C6,#FFC20E,LosAngeles,Chargers
CHI,#0B162A,#C83803,Chicago,Bears
DET,#0076B6,#B0B7BC,Detroit,Lions
GB,#203731,#FFB612,GreenBay,Packers
MIN,#4F2683,#FFC62F,Minnesota,Vikings
DAL,#003594,#869397,Dallas,Cowboys
NYG,#0B2265,#A71930,NewYork,Giants
PHI,#004C54,#A5ACAF,Philadelphia,Eagles
WAS,#5A1414,#FFB612,Washington,Commanders
ATL,#A71930,#000000,Atlanta,Falcons
CAR,#0085CA,#101820,Carolina,Panthers
NO,#D3BC8D,#101820,NewOrleans,Saints
TB,#D50A0A,#34302B,TampaBay,Buccaneers
ARI,#97233F,#000000,Arizona,Cardinals
LA,#003594,#FFD100,LosAngeles,Rams
SF,#AA0000,#B3995D,SanFrancisco,49ers
SEA,#002244,#69BE28,Seattle,Seahawks
